source,target,predicate,dossier_id,relationship_id
FUM21,FUM6/FUM8/FUM10 transcription,positively_regulates,M4-FUNG-0457,R002
FUM21 defect + FUM7-region defect,G1 fumonisin nonproduction,jointly_cause,M4-FUNG-0457,R003
FUM cluster,fumonisin B1/B2/B3,produces,M4-FUNG-0457,R004
XenE + XenG,tyrosine-nonaketide skeleton,assemble,M4-FUNG-0458,R001
XenA,skeleton → pyrrolidinone intermediate,dehydrates,M4-FUNG-0458,R002
XenF,precursor → cyclohexane intermediate,rearranges,M4-FUNG-0458,R003
XenD,XenF product → XenC substrate,oxidizes,M4-FUNG-0458,R004
XenC,para-cyclophane ether preceding spontaneous Diels-Alder closure,forms,M4-FUNG-0458,R005
SpoP/SpoM pathway arm,methylated naphthalene coupling precursor,forms,M4-FUNG-0459,R001
SpoL + SpoF,naphthalene precursor → sporandol,selectively_couple,M4-FUNG-0459,R002
purple C. macilenta chemotype,brq1–brq6 and biruloquinone-producing phenotype,coexpresses_with,M4-FUNG-0460,R001
brq5 / PKS21,biruloquinone polyketide precursor,candidate_assembles,M4-FUNG-0460,R002
brq3 / brq4,methylation and oxidation steps in proposed biruloquinone biosynthesis,predicted_tailor,M4-FUNG-0460,R003
brq2,biruloquinone or a pathway metabolite,may_export,M4-FUNG-0460,R004
Stl-TS,"DMAPP + IPP → stellata-2,6,19-triene",synthesizes,M4-FUNG-0491,R001
Stl-P450,"stellata-2,6,19-triene → stellatic acid",oxidizes,M4-FUNG-0491,R002
A. mulundensis Y-30462,mulundocandin,produces,M4-FUNG-0492,R001
BGC0002611 / KP742486.1,mulundocandin biosynthesis,is associated with,M4-FUNG-0492,R002
htyA-htyD,homotyrosine precursor biosynthesis,support,M4-FUNG-0492,R003
AKJ70942.1 NRPS,echinocandin lipohexapeptide assembly,supports,M4-FUNG-0492,R004
AndM,"3,5-dimethylorsellinic acid",synthesizes,M4-FUNG-0493,R001
AndD,DMOA-derived aromatic precursor with farnesyl group,prenylates,M4-FUNG-0493,R002
AndA,andiconin bicyclo[2.2.2]octane core,reconstructs skeleton to,M4-FUNG-0493,R003
AndF,anditomin,oxidatively rearranges late intermediate to,M4-FUNG-0493,R004
historical Diels-Alder model,AndA enzyme-mediated skeletal reconstruction,is superseded by,M4-FUNG-0493,R005
esdpA,pyrone polyketide precursor,builds,M4-FUNG-0494,R001
esdpD,GGPP diterpene precursor,supplies,M4-FUNG-0494,R002
esdpC,polyketide and diterpene branches,links,M4-FUNG-0494,R003
esdpE,diterpenyl side chain before cyclization,epoxidizes,M4-FUNG-0494,R004
esdpB,DDP terpene moiety,cyclizes,M4-FUNG-0494,R005
engineered esdp/tailoring combinations,expanded DDP chemical space,generate,M4-FUNG-0494,R006
P. roridum NRRL 2183,halovirs I–K,produces,M4-FUNG-0502,R001
PrHalA-containing candidate locus,halovir I–K biosynthesis,putatively_encodes,M4-FUNG-0502,R002
SdxC + SdxD + SdxA,ketone 12,heterologously_generate,M4-FUNG-0503,R001
SDR-mediated reduction of ketone 12,spontaneous o-QM/cation cyclization to M/P-deoxyakanthomycin,precedes,M4-FUNG-0503,R002
SdxB,N-hydroxylation toward akanthomycin,putatively_catalyzes,M4-FUNG-0503,R003
Xylaria sp. 218_066,xylaroamide A,produces,M4-FUNG-0504,R001
candidate Xyl NRPS locus,xylaroamide A biosynthesis,putatively_encodes,M4-FUNG-0504,R002
FfnC,phosphonoacetaldehyde -> 2-hydroxyethylphosphonic acid,catalyzes,M4-FUNG-0505,R001
FfnD,2-hydroxyethylphosphonic acid -> (S)-epoxyethylphosphonic acid,catalyzes,M4-FUNG-0505,R002
FfnABCD conserved module,early fosfonochlorin phosphonate biosynthesis,supports,M4-FUNG-0505,R003
Copu5,FPP -> (+)-δ-cadinol,catalyzes,M4-FUNG-0506,R001
MEP-pathway optimization,heterologous (+)-δ-cadinol production,increases,M4-FUNG-0506,R002
MEP-pathway optimization,heterologous (+)-δ-cadinol production,increases,M4-FUNG-0507,R002
Copu9,FPP -> (+)-δ-cadinol,catalyzes,M4-FUNG-0507,R001
CONPUDRAFT_118913,Copu9 structure 7OFL,is_identical_to,M4-FUNG-0507,R003
PKS12,YWA1,produces,M4-FUNG-0508,R001
AurR1/GIP2,aurofusarin cluster expression,positively_regulates,M4-FUNG-0508,R002
AurT,rubrofusarin,supports_export_of,M4-FUNG-0508,R003
iron deficiency,mrsidA/mrsidD expression and siderophore production,induces,M4-FUNG-0509,R001
mrsidA,metachelins and dimerumic acids,required_for,M4-FUNG-0509,R002
mrsidD,both coprogen and dimerumic-acid branches,required_for,M4-FUNG-0509,R003
B. sorokiniana 11134,chlorinated chromones/xanthones,produces,M4-FUNG-0510,R001
candidate halogenase-associated locus,BGC0002726 product family,putatively_encodes,M4-FUNG-0510,R002
iliA+B+C+D,ilicicolin H and ilicicolin J,sufficient_for,M4-FUNG-0511,R001
AneC,"dauca-4,7-diene",produces,M4-FUNG-0512,R001
AneF,"dauca-4,7-diene C-12 → asperaculane D",oxidizes,M4-FUNG-0512,R002
AneD,asperaculane D at C-10 → asperaculane E,hydroxylates,M4-FUNG-0512,R003
AneG,asperaculane E → aculene D via C-2 oxidation/decarboxylation,converts,M4-FUNG-0512,R004
AneB + AneE,L-proline-derived moiety to aculene D/C → B/A,adds,M4-FUNG-0512,R005
srdA+C+D+E,salicylic alcohol intermediate 2,sufficient_for,M4-FUNG-0513,R001
SrdI,alcohol 2 → aldehyde 3,converts,M4-FUNG-0513,R002
full srd cluster,sordarial,produces_in_heterologous_host,M4-FUNG-0513,R003
native N. crassa OR74A,sordarial UNCERTAIN / unobserved in defining study,production_status,M4-FUNG-0513,R004
P. brasilianum HBU-136,spirotryprostatin G and cyclotryprostatins,produces,M4-FUNG-0514,R001
candidate ctp locus,indole-diketopiperazine product family,putatively_encodes,M4-FUNG-0514,R002
rice + 1.0% MgCl2,eight HBU-136 IDKPs,supports_recovery_of,M4-FUNG-0514,R003
A. nanangensis MST-FP2251,nanangenines,produces,M4-FUNG-0515,R001
putative nan cluster,nanangenine biosynthesis,putatively_encodes,M4-FUNG-0515,R002
FE257_006542,drimane precursor chemistry,proposed_to_form,M4-FUNG-0515,R003
ATEG_03629,5-methylorsellinic acid,produces,M4-FUNG-0516,R001
ATEG_03630,"5-methylorsellinic acid → 2,4-dihydroxy-5,6-dimethylbenzaldehyde",converts,M4-FUNG-0516,R002
ATEG_03629 + ATEG_03630,two-step aryl-aldehyde module in yeast,sufficient_for,M4-FUNG-0516,R003
AtAS,preaspterpenacid I,produces,M4-FUNG-0517,R001
AtP450,preaspterpenacid I at C22,oxidizes,M4-FUNG-0517,R002
native A. terreus NIH2624,UNCERTAIN in defining study,production_status,M4-FUNG-0517,R003
verA,verrucosidin production,required_for,M4-FUNG-0518,R001
ΔverA,verrucosidin in culture and apples,abolishes,M4-FUNG-0518,R002
cl3A deletion,verrucosidin production,does_not_affect,M4-FUNG-0518,R003
NRRL995 dov cluster,X6 ver cluster,homologous_to,M4-FUNG-0518,R004
ver cluster genotype,P. polonicum strains IBT4502/X6 and hy4,varies_between,M4-FUNG-0518,R005
D. bispora CBS 962.96,dendrothelin A-related peptides,produces,M4-FUNG-0519,R001
DbiMA1,its C-terminal borosin core peptide,methylates,M4-FUNG-0519,R002
OphMA_DbiCORE + OphP,dendrothelin A,produces_in_Pichia,M4-FUNG-0519,R003
dendrothelin A,M. incognita,is_nematotoxic_to,M4-FUNG-0519,R005
DbiP,native DbiMA1 core,putatively_processes,M4-FUNG-0519,R004
L. edodes,lentinulin A-related peptides,produces,M4-FUNG-0520,R001
LedMA,lentinulin core precursor,methylates,M4-FUNG-0520,R002
LedP,tested borosin precursors/hybrids,processes_and_macrocyclizes,M4-FUNG-0520,R003
OphMA_LedCORE + OphP/LedP,lentinulin A,produces_in_Pichia,M4-FUNG-0520,R004
lentinulin A,M. incognita,is_nematotoxic_to,M4-FUNG-0520,R005
AcdD,3-hydroxy-L-kynurenine,supplies,M4-FUNG-0521,R001
AcdB,3-hydroxy-L-kynurenine,incorporates,M4-FUNG-0521,R002
AcdB,one malonyl-CoA unit,extends_with,M4-FUNG-0521,R003
AcdB,aspcandine tricyclic scaffold,produces,M4-FUNG-0521,R004
BDW47DRAFT_120077,aspcandine/pathway metabolite,putatively_transports,M4-FUNG-0521,R005
DbaI,DHMBA,produces,M4-FUNG-0522,R001
DbaH,DHMBA-derived azanidulone/tropolone branch,oxidizes_enables,M4-FUNG-0522,R002
TroA,tropolone-ring branch,enables,M4-FUNG-0522,R003
sepedonin,anhydrosepedonin,spontaneously_dehydrates_to,M4-FUNG-0522,R004
DbaB,antibiotic C,required_for,M4-FUNG-0522,R005
S. mobaraensis glycopeptide signal,DbaA-dependent dba/troA transcription,activates,M4-FUNG-0522,R006
BrvA,polyketide-derived pyrone precursor,builds,M4-FUNG-0523,R001
BrvB + BrvC,geranylgeranyl-derived terpene unit,install,M4-FUNG-0523,R002
BrvF,epoxidized prenylated scaffold,cyclizes,M4-FUNG-0523,R003
BrvJ,brevione-B-derived branch substrate,skeletally_rearranges,M4-FUNG-0523,R004
BrvL,brevione E,late_tailors,M4-FUNG-0523,R005
CTC1,orsellinic acid,produces,M4-FUNG-0524,R001
CTC4,orsellinic-acid-derived scaffold,prenylates,M4-FUNG-0524,R002
CTC2,colletochlorin branch,halogenates,M4-FUNG-0524,R003
ΔcclA,native colletorin/colletochlorin chemistry,derepresses,M4-FUNG-0524,R004
extra CTC4 expression,downstream colletochlorin-family production in yeast,rescues,M4-FUNG-0524,R005
spyA,triacetic acid lactone,produces,M4-FUNG-0525,R001
spyF,TAL with GGPP to geranylgeranyl-triacetate lactone,prenylates,M4-FUNG-0525,R002
spyC,geranylgeranyl-triacetate lactone terminal olefin,epoxidizes,M4-FUNG-0525,R003
spyD,epoxygeranylgeranyl-triacetate lactone to sartorypyrones F and D,cyclizes,M4-FUNG-0525,R004
spyB,sartorypyrones D/F to sartorypyrones A/G,acetylates,M4-FUNG-0525,R005
spyE,GGPP for the diterpenoid branch,supplies,M4-FUNG-0525,R006
Ma_OvaA,"octanoyl-, 2-octenoyl-, hexanoyl- and 2-hexenoyl starter units",generates,M4-FUNG-0526,R001
Ma_OvaB,starter units to ACP-bound resorcylyl thioesters,extends/cyclizes,M4-FUNG-0526,R002
Ma_OvaC,resorcylyl thioesters to olivetolic acid and analogs,hydrolyzes,M4-FUNG-0526,R003
DrcA,"CJ-20,557",produces,M4-FUNG-0527,R001
DrcA SAT domain,depside ester bond,forms,M4-FUNG-0527,R002
DrcB,"CJ-20,557 to duricamidepside",converts,M4-FUNG-0527,R003
LtbA,luteodiene A / gem-dimethylated polyketide chain,produces,M4-FUNG-0528,R001
LtbA cAT domain,polyketide chain using glucinol to form luteodienoside A,offloads,M4-FUNG-0528,R002
LtbB,glucinol-dependent luteodienoside A production,supports,M4-FUNG-0528,R003
A. nidulans host enzymes,luteodienoside A to luteodiene A and luteodienoside B,convert,M4-FUNG-0528,R004
PbpsA,"3,6-dialkyl-α-pyrone",produces in heterologous host,M4-FUNG-0529,R001
EstB1,indole-diterpene precursor to emindole SA architecture,cyclizes,M4-FUNG-0530,R001
MollD,depsidone ether and C-3 hydroxylated intermediates,forms/oxidizes,M4-FUNG-0531,R001
MollC,depsidone intermediate,decarboxylates,M4-FUNG-0531,R002
MollF,aromatic depsidone precursor to mollicellin Z,prenylates,M4-FUNG-0531,R003
sclA,sclerotiorin-like azaphilone production,required for,M4-FUNG-0532,R001
sclI,sclerotiorin-like azaphilone production,required for,M4-FUNG-0532,R002
Clz14+Clz17+Clz11,L-731.120,produce,M4-FUNG-0533,R001
Clz2,squalestatin tetraketide side-chain precursor,produces,M4-FUNG-0533,R002
Clz6,tricarboxylic core with tetraketide side chain,acylates,M4-FUNG-0533,R003
fructose/glucose condition,cristazarin production and crz1-crz9 induction,correlates with,M4-FUNG-0534,R001
crz7 / PKS22,cristazarin pathway,candidate initiator for,M4-FUNG-0534,R002
DesB,indole-diterpene precursor to emindole DA/DB architecture,cyclizes,M4-FUNG-0535,R001
DesM,PaxM methyltransferase role in heterologous pathway,functionally substitutes for,M4-FUNG-0535,R002
MilA / CCM_09346,highly reducing polyketide synthase in the cordypyrone module,functions as,M4-FUNG-0536,R001
MilB / CCM_09345,trans-acting enoyl reductase in the cordypyrone module,functions as,M4-FUNG-0536,R002
three-gene module,cordypyrone A and cordypyrone B,produces in A. nidulans,M4-FUNG-0536,R003
PKS21/six-gene locus,biruloquinone-producing chemotype,correlates with,M4-FUNG-0537,R001
SidC,ferricrocin,synthesizes,M4-FUNG-0538,R001
SidC A3,L-AHO onto downstream T domains,loads,M4-FUNG-0538,R002
SidC C3,three-residue peptidyl intermediate,selects,M4-FUNG-0538,R003
AtnH+AtnG,hexaketide arthripenoid core,construct,M4-FUNG-0540,R001
AtnF,decarboxylated aromatic polyketide,farnesylates,M4-FUNG-0540,R002
AtnI,bis-epoxidized meroterpenoid precursor,cyclizes,M4-FUNG-0540,R003
arthripenoid B-derived oxidized intermediate,arthripenoids A/C/D/E/F,diversifies spontaneously/chemically to,M4-FUNG-0540,R004
AncC,FPP to (+)-albicanol,converts,M4-FUNG-0542,R001
AncA,FPP to (R)-trans-gamma-monocyclofarnesol,converts,M4-FUNG-0542,R002
FnsA,naringenin from p-coumaric acid + malonyl-CoA,synthesizes,M4-FUNG-0543,R001
FnsA A domain,p-coumaric acid and p-hydroxybenzoic acid,activates,M4-FUNG-0543,R002
AstE/A/G,5'-farnesyl-DHMP early meroterpenoid,build,M4-FUNG-0544,R001
AstI,13-deacetoxyaustalide I at C-6,hydroxylates,M4-FUNG-0544,R002
AstB,13-O-deacetylaustalide I to hemiacetal precursor,hydroxylates,M4-FUNG-0544,R003
AstL,hemiacetal to form austalide-B orthoester,methylates,M4-FUNG-0544,R004
AstK,austalide B to austalide F,hydroxylates,M4-FUNG-0544,R005
SesE+SesM+SesB,prelecanindole,produce,M4-FUNG-0545,R001
SES cluster,TER-cluster-derived indole-diterpene substrates,tailors,M4-FUNG-0545,R002
SES/TER crosstalk,indole-terpenoid congener diversity,expands,M4-FUNG-0545,R003
PKS16-centered cluster,gyrophoric-acid-producing Umbilicaria species,associates with,M4-FUNG-0546,R001
candidate GA cluster family,gyrophoric/umbilicaric/hiascic acid profiles,co-varies with,M4-FUNG-0546,R002
opd cluster,Oxopyrrolidines A/B,produces,M4-FUNG-0557,R001
OpdC,OpdA reductive chain assembly,supports,M4-FUNG-0557,R002
PscyA,N-methylated amino-acid substrates,provides,M4-FUNG-0558,R001
PscyB,cycloaspeptides A/E,assembles,M4-FUNG-0558,R002
VdoD,cyclopenin to cyclopenol,converts,M4-FUNG-0559,R001
cyclopenol,viridicatol,rearranges to,M4-FUNG-0559,R002
candidate ilicicolin BGC,ilicicolinal/ilicicolinic acid A production,associates with,M4-FUNG-0560,R001
annullatin BGC,annullatin family,produces,M4-FUNG-0561,R001
Rsf1,rasfonin biosynthesis,is required for,M4-FUNG-0562,R001
eup2 cluster,Eupenifeldin family,supports biosynthesis of,M4-FUNG-0563,R001
dep physical cluster,terminal nornidulin halogenation,requires remote enzyme for,M4-FUNG-0564,R001
MacC,tetramic-acid beta carbon,hydroxylates,M4-FUNG-0565,R001
candidate azaphilone BGC,sclerotiorin/isochromophilone production,associates with,M4-FUNG-0566,R001
crmA,fumicicolin A/B production,required_for,M4-FUNG-0567,R001
copper starvation,CrmA-dependent metabolite programme,induces,M4-FUNG-0567,R002
valine isocyanide,fumicicolin and fumivaline branches,feeds,M4-FUNG-0567,R003
TraH,crustosic acid toward olefinic intermediate,converts,M4-FUNG-0568,R001
TraD,TraH-derived intermediate to terrestric acid,reduces,M4-FUNG-0568,R002
terrestric-acid BGC,terrestric acid,produces,M4-FUNG-0568,R003
soppiline BGC,soppilines A-C,produces_in_heterologous_host,M4-FUNG-0569,R001
HR-PKS,polyunsaturated alkyl chain,supplies,M4-FUNG-0569,R002
type III PKS,alkylresorcinol-forming release/cyclization,mediates,M4-FUNG-0569,R003
GdlS,FPP to germacradienol,cyclizes,M4-FUNG-0570,R001
Mg2+,GdlS catalytic activity,required_for,M4-FUNG-0570,R002
native A. ustus tested conditions,detectable germacradienol/geosmin production,fails_to_show,M4-FUNG-0570,R003
SatA,FPP to sativene,cyclizes,M4-FUNG-0571,R001
SatB,sativene-derived skeleton,oxidizes_and_cleaves,M4-FUNG-0571,R002
SatC,aldehyde intermediate to prehelminthosporol,converts,M4-FUNG-0571,R003
Hda1,BEA cluster output,represses,M4-FUNG-0572,R001
Kmt6/H3K27 state,BEA chromatin accessibility/output,represses,M4-FUNG-0572,R002
BEA3,beauvericin production,negatively_modulates,M4-FUNG-0572,R003
BEA1,beauvericin,biosynthesizes,M4-FUNG-0572,R004
LB + 2% fructose,MpbA expression and malpibaldin production,induces_association,M4-FUNG-0573,R001
LB + 2% fructose,MpcA expression and malpicyclin production,induces_association,M4-FUNG-0575,R001
MpbA,malpibaldin A-C biosynthesis,associated_with,M4-FUNG-0573,R002
MpbA A domains,module-specific amino acid substrates,select,M4-FUNG-0573,R003
TndC,talarodiene from GGPP,produces,M4-FUNG-0574,R001
TndC,prenyltransferase and diterpene-cyclase functions,contains,M4-FUNG-0574,R003
talarodiene,talaronoid C,precursor_of,M4-FUNG-0574,R002
MpcA,malpicyclin A-F biosynthesis,associated_with,M4-FUNG-0575,R002
malpicyclins A-D,tested Gram-positive bacteria,inhibit,M4-FUNG-0575,R003
MpcA A domains,module-specific amino acid substrates,select,M4-FUNG-0575,R004
NRPS4 overexpression,fusahexin production,activates,M4-FUNG-0576,R001
NRPS4,fusahexin,biosynthesizes,M4-FUNG-0576,R002
fusahexin,Pro-Thr oxazine ether bridge,contains,M4-FUNG-0576,R004
NRPS4 terminal module,two leucine incorporations,proposed_to_iterate_for,M4-FUNG-0576,R003
EchPT1,cyclo-L-Trp-L-Ala to preechinulin,converts,M4-FUNG-0577,R001
EchPT2,preechinulin and dehydro congeners,consecutively_prenylates,M4-FUNG-0577,R002
EchP450,preechinulin at C10-C11,dehydrogenates,M4-FUNG-0577,R003
preechinulin,echinulin via EchPT2 or neoechinulin A branch via EchP450,branches_to,M4-FUNG-0577,R004
four-gene cluster,echinulin/neoechinulin A production in A. nidulans,reconstructs,M4-FUNG-0577,R005
UcdG,4-hydroxyphenylpyruvate from L-tyrosine,proposed_to_supply,M4-FUNG-0578,R001
UcdA,atromentin,forms,M4-FUNG-0578,R002
UcdB,atromentin-derived quinone,proposed_reductive_dehydration_of,M4-FUNG-0578,R003
UcdE,dihydroxyterphenyllin to usterphenyllin products,prenylates,M4-FUNG-0578,R004
usterphenyllins,uscandidusin dibenzofurans,spontaneously_convert_to,M4-FUNG-0578,R005
ortho-dihydroxyphenyl motif,UcdE,promotes_substrate_acceptance_by,M4-FUNG-0578,R006
pbo cluster,(-)-protubonine B,produces,M4-FUNG-0579,R001
bimodular NRPS,cyclo-L-Trp-L-Leu-derived scaffold,assembles,M4-FUNG-0579,R002
flavin-dependent oxygenase,indole-containing protubonine intermediate,hydroxylates_and_cyclizes,M4-FUNG-0579,R003
two acetyltransferases,protubonine intermediates toward final diacetylated product,tailor,M4-FUNG-0579,R004
PbaC,L-tryptophan to tryptamine,decarboxylates,M4-FUNG-0580,R001
PbaE,tryptamine,prenylates,M4-FUNG-0580,R002
PbaD,prenylated tryptamine intermediate with L-glutamate,condenses,M4-FUNG-0580,R003
PbaB,indole C2-C3 bond,oxidatively_cleaves,M4-FUNG-0580,R004
L-glutamic acid feeding,penindolenes A-D,facilitated_isolation_of,M4-FUNG-0580,R005
penindolenes A-D,antimicrobial and acetylcholinesterase-inhibitory activity,show,M4-FUNG-0580,R006
PhoE,phomoxanthone A,is_required_for_native_production_of,M4-FUNG-0581,R001
PhoCDEFGHK,chrysophanol,produce,M4-FUNG-0581,R002
PhoBJKLMNP,chrysophanol to penexanthone B,convert,M4-FUNG-0581,R003
PhoO,two penexanthone B units via C4-C4' bond,suggested_to_couple,M4-FUNG-0581,R004
MIBiG BGC0003093,retired — validation failed,has_status,M4-FUNG-0581,R005
ΔphoE,alternative monoterpene/polypropionate pathways,shunts_metabolic_flux_toward,M4-FUNG-0581,R006
prosJ,3-methylorsellinic-acid/depside biosynthesis,initiates,M4-FUNG-0582,R001
prosK/prosB/prosA/prosC/prosF,depside intermediates toward roseopurpurins C/D,tailor,M4-FUNG-0582,R002
prosG,human cyclin-dependent kinases,is_homolog_of,M4-FUNG-0582,R003
roseopurpurin C,CDK2 with ATP,competitively_inhibits,M4-FUNG-0582,R004
roseopurpurin C,G1 cell-cycle arrest in HCT116,induces,M4-FUNG-0582,R005
A. uvarum cluster-TF overexpression,late roseopurpurin product titers condition-dependently,increases,M4-FUNG-0582,R006
FmPKS8 / FMAN_15223,fusamarin biosynthesis,is_required_for,M4-FUNG-0583,R001
FmKmt1/H3K9 methylation,FmPKS8 cluster expression,modulates,M4-FUNG-0583,R002
6 mM NaNO3,FmPKS8/fusamarin production,induces,M4-FUNG-0583,R003
glutamine/high nitrate,FmPKS8 expression in F. mangiferae,represses,M4-FUNG-0583,R004
FMAN_15219/FMAN_15224 flanks,target fusamarin compounds,are_not_required_for,M4-FUNG-0583,R005
fusamarins,moderate cytotoxicity,show,M4-FUNG-0583,R006
pycPKS,tropolone polyketide branch,supplies,M4-FUNG-0584,R001
pycR6,humulene,synthesizes,M4-FUNG-0584,R002
pycR1,hetero-Diels-Alder coupling,catalyzes,M4-FUNG-0584,R003
StrA KR domain,beta-keto reduction and reductive polyketide chain release,catalyzes,M4-FUNG-0585,R001
StrC,aromatization of the salicylaldehyde scaffold,promotes,M4-FUNG-0585,R002
jmaza-like locus,multiformin azaphilone production,correlates_with,M4-FUNG-0586,R001
multiformins,J. multiformis stromata,are_recovered_from,M4-FUNG-0586,R002
OesA,orsellinyl group onto 3-hydroxypropanoic acid,synthesizes_and_transfers,M4-FUNG-0587,R001
OesA ACP1 and ACP2,product formation,contribute_complementarily_to,M4-FUNG-0587,R002
mfnPKS1/mfnPKS2,complementary tetraketide-derived building blocks,supply,M4-FUNG-0588,R001
mfnL3,pyrone pathway intermediates,acylates/assembles,M4-FUNG-0588,R002
mfn pathway,multiforisin H,produces,M4-FUNG-0588,R003
VrcA,GFPP to variecoladiene,cyclizes,M4-FUNG-0589,R001
VrcB,variecoladiene-derived intermediates to variecolin/variecolactone,oxidizes,M4-FUNG-0589,R002
candidate azaphilone locus,minutellin/hinnulin chemistry,correlates_with,M4-FUNG-0590,R001
minutellins A-D,J. minutella stromata,are_recovered_from,M4-FUNG-0590,R002
KtnS,coumarin precursor for kotanin,produces,M4-FUNG-0591,R001
KtnC,two phenolic monomers regio- and stereoselectively,oxidatively_couples,M4-FUNG-0591,R002
Ao415,desferriferrichrome biosynthesis,is_required_for,M4-FUNG-0592,R001
desferriferrichrome/iron balance,nematode-trap formation,modulates,M4-FUNG-0592,R002
PeTS1,FPP-derived substrate to (+)-aristolochene,cyclizes,M4-FUNG-0593,R001
MBP fusion + MEP engineering,heterologous (+)-aristolochene titer,increases,M4-FUNG-0593,R002
dpfgA / PKS15,FDDP-D/E biosynthesis,is_required_for,M4-FUNG-0594,R001
dpfgE / terpene synthase,efficient FDDP-D/E production,is_required_for,M4-FUNG-0594,R002
dpfgG/H/I/J/K tailoring module,common intermediate toward FDDP-D/E,diversifies,M4-FUNG-0594,R004
wheat infection,native FDDP-D/E production,is_associated_with,M4-FUNG-0594,R005
C16 terpene-synthase disruption,wheat disease phenotype,reduces,M4-FUNG-0594,R006
Q6 liquid medium,high in vitro FDDP-D/E detection,supports,M4-FUNG-0594,R007
PF33-1_006185 / PKS16,olivetoric/physodic acid pathway,is_candidate_core_enzyme_for,M4-FUNG-0595,R001
candidate-cluster cytochrome P450,depsidone ether-bond formation,is_candidate_tailoring_enzyme_for,M4-FUNG-0595,R002
olivetoric acid,physodic acid,is_probable_precursor_or_related_depside_of,M4-FUNG-0595,R003
cluster 4,both P. furfuracea chemotypes,is_present_in,M4-FUNG-0595,R004
physodic-acid chemotype,physodic acid production,is_associated_with,M4-FUNG-0595,R005
JAIUPS000000000,PF33-1_006185 / cluster 4,contains_candidate_context_for,M4-FUNG-0595,R006
BGC0003144 canonical physical placement,literature candidate locus without coordinate reconciliation,is_not_equivalent_to,M4-FUNG-0595,R007
MpsA + MpsG,tetramic-acid precursor,assemble,M4-FUNG-0596,R001
MpsD,macrophasetin A precursor,cyclizes,M4-FUNG-0596,R002
MpsF,macrophasetin A to C,hydroxylates,M4-FUNG-0596,R003
group-D TAS1 homologue,fungal γ-lactam biosynthesis,is_sufficient_for,M4-FUNG-0597,R001
group-D TAS1 homologue,fungal γ-lactam biosynthesis,is_sufficient_for,M4-FUNG-0599,R001
Taslactam C,proteasome,inhibits,M4-FUNG-0597,R002
mlfA,Malformin A2/C biosynthesis,is_required_for,M4-FUNG-0598,R001
mlfA complementation,malformin production,restores,M4-FUNG-0598,R002
Taslactam D,taslactam γ-lactam family,belongs_to,M4-FUNG-0599,R002
pksAC in A. fabae,ascochitine production,is_required_for,M4-FUNG-0600,R001
AV22 cluster,A. fabae ascochitine cluster,is_homologous_to,M4-FUNG-0600,R002
AnuA,aromatic polyketide core,builds,M4-FUNG-0601,R001
AnuH,annullatin intermediate,prenylates,M4-FUNG-0601,R002
AnuG,precursor to annullatin D,oxidatively_lactonizes,M4-FUNG-0601,R003
FUP1,fusaproliferin sesterterpene pathway,initiates,M4-FUNG-0602,R001
FUP4,terpestacin,oxidizes_toward,M4-FUNG-0602,R002
FUP5,terpestacin to fusaproliferin,acetylates,M4-FUNG-0602,R003
CpaA/CpaS,cAATrp,produces,M4-FUNG-0603,R001
CpaD,cAATrp to β-CPA,prenylates,M4-FUNG-0603,R002
CpaO,β-CPA to α-CPA,oxidocyclizes,M4-FUNG-0603,R003
TvTS-PT,HexPP,synthesizes,M4-FUNG-0604,R001
TvTS-TC,HexPP to talaropentaene,cyclizes,M4-FUNG-0604,R002
amyB promoter replacement,native TvTS product formation,activates,M4-FUNG-0604,R003
MpMS-PT,HexPP,synthesizes,M4-FUNG-0605,R001
MpMS-TC,HexPP to macrophomene,cyclizes,M4-FUNG-0605,R002
MpMS D114A/N115A,PT activity from TC activity,separates,M4-FUNG-0605,R003
CgCS / Cgl13855,colleterpenol,produces,M4-FUNG-0606,R001
CgCS prenyltransferase domain,HexPP precursor,builds,M4-FUNG-0606,R002
BGC0003159 canonical interval,ES026 functional locus without sequence reconciliation,is_not_assumed_equivalent_to,M4-FUNG-0606,R003
early EAS genes dmaW/easF/easE/easC,chanoclavine I formation,support,M4-FUNG-0607,R001
easD/easA/easG,agroclavine branch,support,M4-FUNG-0607,R002
late EAS/lps gene complement,lysergyl amides and ergobalansine,is_associated_with,M4-FUNG-0607,R003
host symbiosis,native ergot-alkaloid production,is_context_for,M4-FUNG-0607,R004
host symbiosis,native indole-diterpene production,is_context_for,M4-FUNG-0609,R003
lpsB,ergovaline biosynthesis,is_required_for,M4-FUNG-0608,R001
lpsB disruption,lysergic acid,causes_accumulation_of,M4-FUNG-0608,R002
lpsB disruption,lysergyl-alanine/ergovaline branch progression,prevents,M4-FUNG-0608,R003
grass host association,high EAS pathway expression,supports,M4-FUNG-0608,R004
idtG/idtM/idtB/idtC core,paspaline scaffold biosynthesis,supports,M4-FUNG-0609,R001
idtP/idtQ/idtK/idtF peripheral module,downstream indole-diterpene diversification,is_associated_with,M4-FUNG-0609,R002
idtS,P. ipomoeae IDT pathway,has_unresolved_function_in,M4-FUNG-0609,R004
