claim_key,dossier_id,claim_id,claim_text,evidence_type_raw,direct_or_inferred_raw,supporting_detail_raw,caveat_raw,source_ids,source_row
M4-FUNG-0319:C004,M4-FUNG-0319,C004,MIBiG completeness remains unknown despite a compact mechanistic core.,,,,,S001,35
M4-FUNG-0320:C001,M4-FUNG-0320,C001,TAS1 synthesizes TeA from isoleucine and acetoacetyl-CoA.,,,,,S002,34
M4-FUNG-0320:C002,M4-FUNG-0320,C002,The terminal TAS1 KS domain performs product-releasing cyclization.,,,,,S002;S004,35
M4-FUNG-0320:C003,M4-FUNG-0320,C003,TAS2 and PoLAE1 regulate pathway access; DMSO and OSM1 deletion induce production.,,,,,S003,36
M4-FUNG-0320:C004,M4-FUNG-0320,C004,TeA production is dispensable for virulence in knockout assays but its expression timing affects infection.,,,,,S003,37
M4-FUNG-0321:C001,M4-FUNG-0321,C001,Cop6 is required for lagopodin B biosynthesis.,,,,,S002,33
M4-FUNG-0321:C002,M4-FUNG-0321,C002,Bacterial soluble signals induce cop6 rapidly and locally.,,,,,S002,34
M4-FUNG-0321:C003,M4-FUNG-0321,C003,Cox1/Cox2 implement the oxidative tailoring network.,,,,,S003,35
M4-FUNG-0321:C004,M4-FUNG-0321,C004,The retired record is retained as mechanistic provenance and excluded from active-locus counting.,,,,,S001,36
M4-FUNG-0322:C001,M4-FUNG-0322,C001,PfmaE and PfmaG are sufficient for scytalone production.,,,,,S002,33
M4-FUNG-0322:C002,M4-FUNG-0322,C002,Scytalone feeding rescues ΔPfmaE pigmentation and multicellular conidial adherence.,,,,,S002,34
M4-FUNG-0322:C003,M4-FUNG-0322,C003,PfmaH is the principal pathway-specific regulator; PfmaF acts more broadly upstream.,,,,,S003,35
M4-FUNG-0322:C004,M4-FUNG-0322,C004,The exact displayed BGC boundary remains formally completeness-unknown.,,,,,S001,36
M4-FUNG-0323:C001,M4-FUNG-0323,C001,NfSS is sufficient to generate sesterfisherol in the heterologous host.,,,,,S002,96
M4-FUNG-0323:C002,M4-FUNG-0323,C002,NfP450 oxidizes sesterfisherol to sesterfisheric acid.,,,,,S002,97
M4-FUNG-0323:C003,M4-FUNG-0323,C003,The full displayed MIBiG region is not proven necessary for the demonstrated two-step pathway.,,,,,S001;S002,98
M4-FUNG-0324:C001,M4-FUNG-0324,C001,FCK1 is essential for Fusarium cytokinin production.,,,,,S002,96
M4-FUNG-0324:C002,M4-FUNG-0324,C002,Fusarium cytokinin metabolites are produced during host infection and activate plant cytokinin signalling.,,,,,S002,97
M4-FUNG-0324:C003,M4-FUNG-0324,C003,The intact cytokinin cluster is portable to F. graminearum and reproduces the known metabolite family.,,,,,S006,98
M4-FUNG-0325:C001,M4-FUNG-0325,C001,PerA is essential for peramine biosynthesis.,,,,,S002,94
M4-FUNG-0325:C002,M4-FUNG-0325,C002,Peramine produced by E. festucae protects the grass symbiotum from Argentine stem weevil feeding.,,,,,S002,95
M4-FUNG-0325:C003,M4-FUNG-0325,C003,"PerA is preferentially expressed in planta, making host context a direct activation modifier.",,,,,S002,96
M4-FUNG-0326:C001,M4-FUNG-0326,C001,The infection-upregulated P. nodorum cluster produces the betaenone/stemphyloxin family.,,,,,S002,94
M4-FUNG-0326:C002,M4-FUNG-0326,C002,SthB catalyzes the stereoselective intramolecular aldol step that builds the bridged skeleton.,,,,,S002,95
M4-FUNG-0326:C003,M4-FUNG-0326,C003,"Stemphyloxin II is phytotoxic, but pathway necessity for disease is not established by this study.",,,,,S002,96
M4-FUNG-0327:C001,M4-FUNG-0327,C001,Homologous lna/lnb NRPS-like clusters redundantly generate tyrosine-derived piperazine-family metabolites in A. flavus.,,,,,S002,94
M4-FUNG-0327:C002,M4-FUNG-0327,C002,LnaA/LnbA preferentially activate L-Tyr and use reductive domains to generate an aldehyde/imine-derived intermediate.,,,,,S002,95
M4-FUNG-0327:C003,M4-FUNG-0327,C003,Exact transfer of historical lna/lnb gene names onto BGC0002167 features is not sufficiently resolved for direct strain-feature attribution.,,,,,S001;S002,96
M4-FUNG-0328:C001,M4-FUNG-0328,C001,CalA alone supplies both principal polyketide portions of the calbistrin scaffold.,,,,,S002,96
M4-FUNG-0328:C002,M4-FUNG-0328,C002,CalK and CalH act in trans to direct CalA product divergence.,,,,,S002,97
M4-FUNG-0328:C003,M4-FUNG-0328,C003,CalD esterifies the independently generated decalin and polyene portions.,,,,,S002,98
M4-FUNG-0329:C001,M4-FUNG-0329,C001,Acurin A biosynthesis requires separately encoded PKS and NRPS core enzymes.,,,,,S002,94
M4-FUNG-0329:C002,M4-FUNG-0329,C002,The split core architecture is consistent with fission of an ancestral fused PKS–NRPS hybrid.,,,,,S002,95
M4-FUNG-0329:C003,M4-FUNG-0329,C003,Eight genes influence acurin biosynthesis in the defining functional-genomics analysis.,,,,,S002,96
M4-FUNG-0330:C001,M4-FUNG-0330,C001,Ev460pks is not required for asteltoxin biosynthesis.,,,,,S002,96
M4-FUNG-0330:C002,M4-FUNG-0330,C002,Ev460pks alone produces the two MIBiG-listed polyenoic β-ketolactones in A. oryzae.,,,,,S002,97
M4-FUNG-0330:C003,M4-FUNG-0330,C003,The current Aspergillus stellatus record and historical Emericella variecolor producer nomenclature require explicit provenance handling.,,,,,S001;S002,98
M4-FUNG-0331:C001,M4-FUNG-0331,C001,AnATPKS produces amino-acid-derived α-pyrones pyrophen and campyrone B.,,,,,S002,95
M4-FUNG-0331:C002,M4-FUNG-0331,C002,The AnATPKS adenylation domain accepts multiple substituted phenylalanine analogues.,,,,,S002,96
M4-FUNG-0331:C003,M4-FUNG-0331,C003,AnOMT catalyzes O-methylation and coexpression/feeding enables pathway diversification.,,,,,S002,97
M4-FUNG-0332:C001,M4-FUNG-0332,C001,FGM4 overexpression unlocks the infection-induced fg3_54 cluster under in-vitro conditions.,,,,,S002,98
M4-FUNG-0332:C002,M4-FUNG-0332,C002,NRPS9 and NRPS5 sequentially assemble fusaoctaxin A as a linear octapeptide.,,,,,S002,99
M4-FUNG-0332:C003,M4-FUNG-0332,C003,Fusaoctaxin A is produced in infected wheat and directly facilitates cell-to-cell invasion.,,,,,S002,100
M4-FUNG-0333:C001,M4-FUNG-0333,C001,"AfumA, AfumB and AfumC constitute the experimentally resolved biosynthetic core for fumihopaside A.",,,,,S002,98
M4-FUNG-0333:C002,M4-FUNG-0333,C002,Native deletions and heterologous reconstitution independently support afum-locus product attribution.,,,,,S002,99
M4-FUNG-0333:C003,M4-FUNG-0333,C003,Fumihopaside A contributes to A. fumigatus resistance to heat and ultraviolet stress.,,,,,S002,100
M4-FUNG-0334:C001,M4-FUNG-0334,C001,"Epls is directly sufficient to raise ε-poly-L-lysine production in E. festucae, and VibA overexpression further identifies a transcriptionally accessible activation state.",,,,,S002,29
M4-FUNG-0335:C001,M4-FUNG-0335,C001,"A. oryzae wA can be transcriptionally repurposed under the kojA promoter to produce its spore-pigment polyketide output, supporting the YWA1-like assignment while preserving ortholog provenance.",,,,,S002,29
M4-FUNG-0336:C001,M4-FUNG-0336,C001,CLM1 and CLM2 provide direct genetic and biochemical anchors for the two-step FPP→longiborneol→culmorin core pathway.,,,,,S002; S003,29
M4-FUNG-0337:C001,M4-FUNG-0337,C001,"Ustilaginoidin biosynthesis is experimentally reconstructable from PKS-derived monomers through stereoselective reduction and laccase-mediated oxidative dimerization, with chromatin and calcineurin-responsive transcription acting as upstream regulatory gates.",,,,,S002; S003,29
M4-FUNG-0338:C001,M4-FUNG-0338,C001,Gramillins are direct NRPS8/GRA1 products that function as host-specific virulence metabolites in maize but not wheat.,,,,,S002,29
M4-FUNG-0339:C001,M4-FUNG-0339,C001,"TES and TES1 are directly required for tentoxin production, but the retired interval is not assumed to contain every precursor-supply function needed for complete biosynthesis.",,,,,S001; S002,29
M4-FUNG-0340:C001,M4-FUNG-0340,C001,"Synthetic transcription-factor targeting is sufficient to unlock the silent aln programme, and systematic deletions define a multi-gene requirement for (+)-asperlin production.",,,,,S002,29
M4-FUNG-0341:C001,M4-FUNG-0341,C001,"Heterologous reconstruction establishes the pleuromutilin enzymatic sequence and bifunctional cyclase logic, but that experimental provenance is not silently reassigned to the Rhodocybe strain in the canonical record.",,,,,S001; S002,29
M4-FUNG-0342:C001,M4-FUNG-0342,C001,"The original viridin cluster model is not accepted wholesale: later knockout evidence demonstrates that at least vir4 is dispensable, requiring a revised and provenance-aware pathway interpretation.",,,,,S002; S003,29
M4-FUNG-0343:C001,M4-FUNG-0343,C001,"The enterobactin pathway in this yeast lineage is a functional bacterial operon acquired horizontally, an evolutionary provenance that should not be flattened into an ordinary native fungal NRPS-cluster model.",,,,,S002,29
M4-FUNG-0344:C001,M4-FUNG-0344,C001,The robust strain-specific anchor is OblA-mediated ophiobolin F formation; the historical ophiobolin C endpoint cannot be treated as a clean direct product of the A. clavatus oxidative module.,,,,,S002; S003,29
M4-FUNG-0345:C001,M4-FUNG-0345,C001,Gregatin A uses an unusual two-chain fusion mechanism in which one PKS makes both polyketide partners and GrgF hydrolyzes and Claisen-couples them.,,,,,S002,29
M4-FUNG-0346:C001,M4-FUNG-0346,C001,PKS6 and NRPS7 are direct genetic anchors for fusaristatin A biosynthesis in F. graminearum PH-1.,,,,,S002,29
M4-FUNG-0347:C001,M4-FUNG-0347,C001,"The metabolites are directly established in P. chlamydosporia 170, but the displayed five-gene cluster is a proposed radicicol-family locus rather than a knockout-validated pathway.",,,,,S001; S002,29
M4-FUNG-0348:C001,M4-FUNG-0348,C001,"W493 A/B are direct products of the F. pseudograminearum W493 pathway, supported by native NRPS32 genetics and intact-cluster heterologous reconstruction.",,,,,S002; S003,29
M4-FUNG-0349:C001,M4-FUNG-0349,C001,"F. pseudograminearum did not lose fusaristatin biosynthesis species-wide: an intact producing lineage persists, while many strains retain only cluster remnants.",,,,,S002,29
M4-FUNG-0350:C001,M4-FUNG-0350,C001,"SorA and SorB are direct genetic requirements for sorbicillinoid production, and pathway output is subject to an experimentally supported autoinduction loop.",,,,,S002,29
M4-FUNG-0351:C001,M4-FUNG-0351,C001,PKS8 is a stand-alone biosynthetic gene whose forced expression is sufficient to uncover the gibepyrone/prolipyrone programme in F. graminearum.,,,,,S002,29
M4-FUNG-0352:C001,M4-FUNG-0352,C001,"FR901512 is reconstructable from the strain-14919 gene set in yeast, but the current narrow MIBiG interval should not be mistaken for the entire demonstrated multi-gene statin programme.",,,,,S001; S002,29
M4-FUNG-0353:C001,M4-FUNG-0353,C001,pgnA is both inducibly sufficient in native A. terreus and independently sufficient in a heterologous Aspergillus host for phenguignardic-acid production.,,,,,S002,29
M4-FUNG-0354:C001,M4-FUNG-0354,C001,"epnA, epnB and epnC are direct native requirements for epipyrone-A production, with EpnB subsequently resolved as a specialized membrane-bound C-glycosyltransferase.",,,,,S002; S003,29
M4-FUNG-0355:C001,M4-FUNG-0355,C001,"The kojA-kojR-kojT module is a directly validated biosynthetic/regulatory/export core for kojic acid, and KojR provides a demonstrated transcriptional activation gate.",,,,,S002; S003,29
M4-FUNG-0356:C001,M4-FUNG-0356,C001,"ClaF is directly responsible for clavatol formation, and ClaD converts clavatol toward the reactive hydroxyclavatol branch used in mixed-cluster product assembly.",,,,,S002,29
M4-FUNG-0357:C001,M4-FUNG-0357,C001,"TraA is a direct biosynthetic anchor for the crustosic/terrestric-acid branch, which functionally converges with a separate clavatol locus in penilactone-family assembly.",,,,,S002,29
M4-FUNG-0358:C001,M4-FUNG-0358,C001,The A. terreus pathway directly demonstrates secondary-metabolic repurposing of an IDO to feed kynurenine into unusual NRPS-dependent terreazepine chemistry.,,,,,S002,29
M4-FUNG-0359:C001,M4-FUNG-0359,C001,"NanA directly incorporates anthranilate and L-kynurenine and catalyzes regioselective benzazepine cyclization, while NanC supplies the dedicated kynurenine precursor.",,,,,S002,29
M4-FUNG-0360:C001,M4-FUNG-0360,C001,"Four enzymes, AurA-D, are sufficient for aurovertin-E scaffold construction, while aurA is a direct native requirement for aurovertin production.",,,,,S002,29
M4-FUNG-0361:C001,M4-FUNG-0361,C001,"Victorin is a multicopy fungal RiPP, with vicA precursor genes, VicYb-dependent maturation and VicK-catalyzed oxidative deamination directly demonstrated.",,,,,S002,29
M4-FUNG-0362:C001,M4-FUNG-0362,C001,"BGC0002202 is historical provenance for the same multicopy victorin RiPP programme as BGC0002201, not evidence for a second independent toxin pathway.",,,,,S001; S002; S003,29
M4-FUNG-0363:C001,M4-FUNG-0363,C001,"A conserved four-gene cluster directly controls beauveriolide biosynthesis, and PKS-derived hydroxy-fatty-acid chain length is a demonstrated determinant of congener diversity.",,,,,S002,29
M4-FUNG-0364:C001,M4-FUNG-0364,C001,FfsA provides the directly supported octaketide-plus-L-leucine biosynthetic entry point for a genetically anchored A. flavipes cytochalasan pathway.,,,,,S001; S002,29
M4-FUNG-0365:C001,M4-FUNG-0365,C001,The phm pathway links an infection-responsive transcriptional gate to cytochalasan production and to a directly demonstrated contribution to P. nodorum virulence.,,,,,S002,29
M4-FUNG-0366:C001,M4-FUNG-0366,C001,This cluster is a direct example in which secondary-metabolite induction during antagonism protects the producing fungus from its own oxidative attack rather than supplying the primary antifungal weapon.,,,,,S002,29
M4-FUNG-0367:C001,M4-FUNG-0367,C001,"BGC0002207 is strongly supported as a conserved psilocybin biosynthetic locus and as part of a horizontally transferred gene-cluster history, but the defining study is not a native knockout demonstration in P. cyanescens.",,,,,S001; S002,29
M4-FUNG-0368:C001,M4-FUNG-0368,C001,"Oxepinamide F provides a directly dissected sequence of NRPS assembly, P450 oxepin formation, flavoenzyme-driven hydroxylation/migration, aminoacyl epimerization and final methylation.",,,,,S002,29
M4-FUNG-0369:C001,M4-FUNG-0369,C001,The ustethylin pathway directly demonstrates assembly of a phenethyl core from malonyl-CoA by a fungal PKS followed by a compact redox/methylation tailoring sequence.,,,,,S002,29
M4-FUNG-0370:C001,M4-FUNG-0370,C001,pyvA is a direct native requirement for pyranoviolin A production; detailed downstream enzyme functions remain substantially more inferential than the cluster assignment itself.,,,,,S002,29
M4-FUNG-0371:C001,M4-FUNG-0371,C001,"BGC0002211 is experimentally productive in a heterologous yeast system, but that result should not be translated into claims about native activation or ecological function in P. sporulosa.",,,,,S002,29
M4-FUNG-0372:C001,M4-FUNG-0372,C001,"BGC0002212 produces NMR-confirmed orsellinic acid in the HEx yeast system, while native activation, minimal gene requirements and ecological function remain unresolved.",,,,,S001; S002,29
M4-FUNG-0373:C001,M4-FUNG-0373,C001,"HEx-pks16 demonstrates that a basidiomycete PKS cluster lacking an NRPS can nevertheless generate unusual amino-acid-containing N,S-bis-acylated products under heterologous expression.",,,,,S002,29
M4-FUNG-0374:C001,M4-FUNG-0374,C001,HEx establishes access to a chemically defined N-acylated amino-acid product from this locus while leaving native pathway state unresolved.,,,,,S001; S002,20
M4-FUNG-0375:C001,M4-FUNG-0375,C001,This record is strong evidence for heterologous productivity but weak evidence for a chemically complete or native pathway model.,,,,,S001; S002,20
M4-FUNG-0376:C001,M4-FUNG-0376,C001,The selected T. virens terpene locus is biosynthetically competent when transcriptional access is supplied by HEx.,,,,,S002,20
M4-FUNG-0377:C001,M4-FUNG-0377,C001,"DenTC3 is a directly characterized basidiomycete cyathane diterpene synthase producing (-)-cyatha-3,12-diene.",,,,,S002,20
M4-FUNG-0378:C001,M4-FUNG-0378,C001,SteTC1 is the first reported fungal cembrane diterpene synthase and directly yields (-)-(R)-nephthenol.,,,,,S002,20
M4-FUNG-0379:C001,M4-FUNG-0379,C001,PunTC directly converts diterpene precursor chemistry to ent-kauran-16α-ol under heterologous characterization.,,,,,S002,20
M4-FUNG-0380:C001,M4-FUNG-0380,C001,SerTC is a directly characterized basidiomycete ent-kauran-16α-ol synthase.,,,,,S002,20
M4-FUNG-0381:C001,M4-FUNG-0381,C001,Zopfiellin biosynthesis diverges from the scytalidin pathway after deoxyscytalidin through 5-hydroxylation and ring contraction.,,,,,S002,20
M4-FUNG-0382:C001,M4-FUNG-0382,C001,ScyL2 is a directly validated terminal branch enzyme distinguishing scytalidin from the shared deoxyscytalidin precursor.,,,,,S002,20
M4-FUNG-0383:C001,M4-FUNG-0383,C001,The pathway provides direct evidence for oxidative ring contraction of a nonadride intermediate into the zopfiellin octadride scaffold.,,,,,S002,20
M4-FUNG-0384:C001,M4-FUNG-0384,C001,Three P450 enzymes perform a chemically ordered oxidation sequence whose final C-2 oxidation promotes decarboxylation and converts a C15 daucane precursor into the C14 nordaucane scaffold.,,,,,,20
M4-FUNG-0385:C001,M4-FUNG-0385,C001,"The record establishes a fungal NRPS-dependent diketomorpholine pathway, but the functions of the two neighboring non-core genes remain unresolved.",,,,,,20
M4-FUNG-0386:C001,M4-FUNG-0386,C001,This record supports transferase-homologue-guided genome mining as a route to previously unrecognized fungal macrolide chemistry.,,,,,,20
M4-FUNG-0387:C001,M4-FUNG-0387,C001,CIML and AKML loci form a mechanistically related genome-mining pair linking a transferase-homologue signature to fungal macrolide diversification.,,,,,,20
M4-FUNG-0388:C001,M4-FUNG-0388,C001,The pathway provides direct biosynthetic linkage between a fungal 6-MSA synthase and structurally diversified aculin metabolites.,,,,,,20
M4-FUNG-0389:C001,M4-FUNG-0389,C001,A four-gene hybrid PKS-NRPS cassette is sufficient to define the core biosynthetic capacity for tolypyridone C in a heterologous system.,,,,,,20
M4-FUNG-0390:C001,M4-FUNG-0390,C001,Fusaric-acid biosynthesis couples an HRPKS-derived aldehyde branch to PLP-dependent carbon-carbon bond formation and FMN-dependent oxidation to construct the substituted picolinic-acid scaffold.,,,,,,20
M4-FUNG-0391:C001,M4-FUNG-0391,C001,This accession is best treated as a cluster-level ergotamine attribution with strong product evidence rather than as a fully stepwise annotated pathway record.,,,,,,20
M4-FUNG-0392:C001,M4-FUNG-0392,C001,Selective reoxidation of an HRPKS-derived reduced chain creates the carbonyl pattern required for intramolecular aldol condensation and aromatic salicylaldehyde formation.,,,,,,20
M4-FUNG-0393:C001,M4-FUNG-0393,C001,Temporary aldehyde reduction is a pathway-enabling redox gate that permits prenyl decoration before the aldehyde is restored in the final product.,,,,,,20
M4-FUNG-0394:C001,M4-FUNG-0394,C001,ACE1 provides unusually direct evidence that fungal secondary-metabolic competence can be gated by the infection state and coupled to host immune recognition.,,,,,,20
M4-FUNG-0395:C001,M4-FUNG-0395,C001,Forced expression of a pathway-specific transcriptional regulator is sufficient to unlock this silent native A. oryzae polyketide pathway.,,,,,,20
M4-FUNG-0396:C001,M4-FUNG-0396,C001,"AoiQ is a biochemically reconstituted fungal flavin-dependent halogenase that performs gem-dichlorination of an enolizable sp3 carbon in a 1,3-diketone substrate.",,,,,,20
M4-FUNG-0397:C001,M4-FUNG-0397,C001,"PpsA and PpsB are genetically essential for this A. oryzae propiophenone pathway, whereas PpsC has direct substrate-binding evidence but a less completely resolved catalytic role.",,,,,,20
M4-FUNG-0398:C001,M4-FUNG-0398,C001,"Small accessory proteins are essential catalytic components of the hirsutellone-family pathway, enabling oxidative para-cyclophane closure and stereoselective decahydrofluorene formation.",,,,,,20
M4-FUNG-0399:C001,M4-FUNG-0399,C001,"Ba17a alone is sufficient for PBA/BAA biosynthetic capacity, whereas Ba17b changes the product profile toward BAB without a fully resolved catalytic mechanism.",,,,,,20
M4-FUNG-0400:C001,M4-FUNG-0400,C001,"The cited genetics strongly establishes a Ywa1-producing pigment PKS and UV-protective phenotype in Paecilomyces variotii, but does not safely establish the same causal assignment in the retired Byssochlamys accession.",,,,,,20
M4-FUNG-0401:C001,M4-FUNG-0401,C001,"The oxepin ring is generated enzymatically by fungal P450-catalyzed, highly specific and stereoselective oxidative ring expansion.",,,,,,20
M4-FUNG-0402:C001,M4-FUNG-0402,C001,"PKS21/brq5 and its coexpressed brq1-brq6 neighborhood are strong biruloquinone candidates, but transcriptomic correlation is not equivalent to gene-deletion causality.",,,,,,20
M4-FUNG-0403:C001,M4-FUNG-0403,C001,"Targeted disruption establishes a pks8-centered gene cluster as necessary for dibenzodioxocinone biosynthesis in the defining Pestalotiopsis microspora system, while the proposed enzyme-by-enzyme route remains incompletely validated.",,,,,,20
M4-FUNG-0404:C001,M4-FUNG-0404,C001,"Four enzymes are sufficient for total terpestacin biosynthesis in a heterologous fungal host, resolving the terpene cyclization, three hydroxylations and terminal flavin-dependent oxidation sequence.",,,,,,20
M4-FUNG-0405:C001,M4-FUNG-0405,C001,"Comparative occurrence of the Hsub99/Hfas344 locus in two naematolin-producing Hypholoma species, together with heterologous activity of the H. fasciculare cyclase/FAD-oxidase pair, strongly supports this locus as naematolin-associated early caryophyllane biosynthetic machinery, while complete H. sublateritium pathway causality remains unproven.",,,,,,21
M4-FUNG-0406:C001,M4-FUNG-0406,C001,BGC0002247 should be interpreted as a retired historical association; current evidence supports metabolite provenance in Amesia more strongly than a validated active locus-to-product causal assignment.,,,,,,20
M4-FUNG-0407:C001,M4-FUNG-0407,C001,Heterologous reconstruction provides strong causal evidence that the flv enzyme set encodes flavunoidine biosynthesis and resolves the unusual mixed terpene/NRPS pathway chemistry.,,,,,,20
M4-FUNG-0408:C001,M4-FUNG-0408,C001,ApmlA and the trans-acting thioesterase ApmlB provide direct pathway-level evidence for construction and macrocyclization of phaeospelide A.,,,,,,20
M4-FUNG-0409:C001,M4-FUNG-0409,C001,"Native ttcA knockout establishes TtcA as necessary for the triticone family and associated metabolite features, while the absence of a clear pathogenicity defect limits claims about an essential virulence role.",,,,,,20
M4-FUNG-0410:C001,M4-FUNG-0410,C001,"Cyanodermella asteris can produce astins autonomously in culture and carries a plausible AstN-centered NRPS cluster, but the retired MIBiG status and incomplete gene-by-gene causality require provenance-constrained interpretation.",,,,,,20
M4-FUNG-0411:C001,M4-FUNG-0411,C001,"The proposed four-function locus is a plausible source of the protoilludene-to-bovistol chemistry, but the evidence supports candidate association rather than genetically demonstrated locus causality.",,,,,,20
M4-FUNG-0412:C001,M4-FUNG-0412,C001,"The Svio locus is a coherent genome-mined candidate for semivioxanthin/waikikiamide biosynthesis, but available evidence does not justify calling it a complete experimentally reconstructed pathway.",,,,,,20
M4-FUNG-0413:C001,M4-FUNG-0413,C001,BGC0002254 is best treated as an active but incompletely reconstructed FM242 indole/notoamide-associated locus rather than as a fully proven source of every compound in its current product set.,,,,,,20
M4-FUNG-0414:C001,M4-FUNG-0414,C001,"The lijA-lijH region is a genome-mining-supported lijiquinone BGC association, but the present evidence does not justify precise catalytic assignments for every lij gene.",,,,,,20
M4-FUNG-0415:C001,M4-FUNG-0415,C001,"The fscA-fscJ locus provides a coherent genomic framework for tryptophan-derived fusarochromanone/fusarochromene chemistry, but individual functions and the complete pathway remain partly inferred.",,,,,,20
M4-FUNG-0416:C001,M4-FUNG-0416,C001,"The cluster-encoded P450 ShwC directly establishes the key oxidative biaryl-coupling step to rufoschweinitzin, but the natural product was discovered in a different fungal species and the entire Xylaria pathway is not equally validated gene-by-gene.",,,,,,20
M4-FUNG-0417:C001,M4-FUNG-0417,C001,"Shimalactone biosynthesis is a mixed enzymatic/non-enzymatic pathway: ShmA and ShmB generate the reactive precursor state, whereas the distinctive bicyclic architecture can arise spontaneously thereafter.",,,,,,20
M4-FUNG-0418:C001,M4-FUNG-0418,C001,"The C. militaris beauveriolide locus has both heterologous sufficiency evidence and native product detection, providing stronger organism-specific support than comparative homology alone.",,,,,,20
M4-FUNG-0419:C001,M4-FUNG-0419,C001,"The bra locus has direct heterologous and biochemical support for scaffold formation, glycosylation and multifunctional P450 oxidation, while BraB substrate promiscuity provides a mechanistic basis for glycoside diversity.",,,,,,20
M4-FUNG-0420:C001,M4-FUNG-0420,C001,"Native knockout genetics resolve Luc5 and Luc1 as essential pathway functions and later refine Luc2/Luc3 tailoring assignments, making this a mechanistically stronger record than annotation alone.",,,,,,20
M4-FUNG-0421:C001,M4-FUNG-0421,C001,"The sporothriolide locus is experimentally an FAS/citrate-based alkyl-citrate pathway rather than a conventional fungal PKS pathway, and sporochartine diversification includes a demonstrably non-enzymatic Diels-Alder step.",,,,,,20
M4-FUNG-0422:C001,M4-FUNG-0422,C001,"Spiromarmycin production is strongly associated with the intracellular bacterial symbiont and is polyketide-derived, while assignment of the precise spm locus remains supported by expression, isotope and bioinformatic evidence rather than knockout sufficiency/necessity.",,,,,,20
M4-FUNG-0423:C001,M4-FUNG-0423,C001,"The hkm cluster is heterologously sufficient, and Hkm11 provides a directly demonstrated fungal NRPS chemistry for trans-cinnamate activation/transfer; truncation studies show that pathway architecture can generate substantial congener diversity.",,,,,,20
M4-FUNG-0424:C001,M4-FUNG-0424,C001,"Atr1-Atr3 are experimentally sufficient for atranorin formation in a heterologous host, so the current MIBiG retirement reflects missing record annotation rather than loss of pathway evidence.",,,,,,20
M4-FUNG-0425:C001,M4-FUNG-0425,C001,"The six-gene drt pathway is experimentally reconstructed at unusually high mechanistic resolution, including the first identified fungal drimenol cyclase and separable control of scaffold oxidation, lactone formation and acyl-chain diversity.",,,,,,20
M4-FUNG-0426:C001,M4-FUNG-0426,C001,Azasperpyranones are collaboratively synthesized by two physically separate gene clusters.,native gene deletion + biochemical investigation,direct,Defining study explicitly resolves two-cluster collaboration.,Canonical BGC0002267 represents only one arm of the full functional programme.,S002,142
M4-FUNG-0426:C002,M4-FUNG-0426,C002,"The collaborative programme contains four core PKS/NRPS-family enzymes: two NR-PKSs, one HR-PKS and one NRPS-like enzyme.",gene deletion + biochemical/heterologous reconstruction,direct at programme level,Core-enzyme composition is explicit in defining study.,Individual catalytic assignments should retain their experiment-specific provenance.,S002; S004,143
M4-FUNG-0426:C003,M4-FUNG-0426,C003,Three transcription factors coordinate biosynthesis through cross-cluster transcriptional crosstalk.,transcriptional-regulatory analysis,direct,Regulatory coupling links the physically separated loci.,This does not establish environmental or ecological triggers.,S002; S004,144
M4-FUNG-0427:C001,M4-FUNG-0427,C001,PfpA is the hybrid PKS-NRPS assembly line that initiates phenylfuropyridone scaffold biosynthesis.,heterologous expression / domain architecture,direct,,,,146
M4-FUNG-0427:C002,M4-FUNG-0427,C002,PfpB catalyzes the characteristic P450-dependent ring-expansion step downstream of PfpA.,stepwise heterologous reconstruction,direct,,,,147
M4-FUNG-0427:C003,M4-FUNG-0427,C003,PfpC is an SDR whose reconstruction-supported reduction step precedes dehydration to reactive ortho-quinone-methide intermediates.,heterologous reconstruction + mechanistic inference,direct/inferred,,,,148
M4-FUNG-0427:C004,M4-FUNG-0427,C004,"Reactive ortho-quinone-methide chemistry generates multiple citridone-family scaffolds through competing electrocyclization, cycloisomerization and conjugate-addition routes.",heterologous reconstruction / chemical mechanism,direct/inferred,,,,149
M4-FUNG-0427:C005,M4-FUNG-0427,C005,The quaternary carbon center of citridone B is produced through an epoxide-forming P450 reaction followed by skeletal rearrangement.,primary mechanistic reconstruction,direct/inferred,,,,150
M4-FUNG-0427:C006,M4-FUNG-0427,C006,The pfp cluster is sufficient in a heterologous A. nidulans host to access multiple members of the citridone phenylfuropyridone family.,heterologous pathway reconstruction,direct,,,,151
M4-FUNG-0428:C001,M4-FUNG-0428,C001,Overexpression of the mca17 pathway regulator activates MCA17-1 production in an aurovertin-null C. arbuscula background.,genetic activation + metabolite isolation,direct,Silent cluster was activated and MCA17-1 identified.,The engineered background is part of the causal context.,S003,142
M4-FUNG-0428:C002,M4-FUNG-0428,C002,MCA17-1 is proposed to derive from the cluster's hybrid PKS-NRPS core enzyme.,cluster architecture + structure-based inference,inferred,Primary study proposes the biosynthetic origin.,No complete heterologous enzyme-by-enzyme reconstruction.,S003,143
M4-FUNG-0429:C001,M4-FUNG-0429,C001,SwnK is required for swainsonine production and generates multiple pathway intermediates with domain skipping.,knockout/complementation + heterologous expression,direct,Loss abolishes detectable SW; mechanistic expression resolves intermediates.,Canonical interval includes more genes than the conserved seven-gene SWN functional set.,S003; S005,142
